"award_id"	"contract_id"	"vendor"	"contract"	"estimated_cost"	"obligated_amount"	"start_date"	"end_date"	"issuing_office"	"type"
"72066324CA00003"	"72066324CA00003"	"PROJECT HOPE - THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION INC"	"Solicitation for a cooperative agreement for USAID Empowered Communities Activity with a total estimated USAID budget of $35 million over four years. The estimated start and end date of the activity is from October 1, 2023, through September 30,2027. The initial obligation amount will be $4,820,000. The overall goal of the USAID Empowered Communities Activity is to achieve better health and nutrition outcomes through improved community ownership of health and strengthened social accountability systems."	37700000	12821925	2024-01-18	2028-01-17	"USAID/Ethiopia"	"defunded"
"72067418CA00027"	"72067418CA00027"	"WITS HEALTH CONSORTIUM (PTY) LTD"	"Advancing the South African HIV Response for Key Populations, Sex Workers (SW) and Transgender (TG)"	37673957	37673957	2018-09-07	2025-12-30	"USAID/South Africa"	"defunded"
"72052222F00003"	"72052222F00003"	"ACDI/VOCA"	"TMS task order 3"	37600000	24463080	2022-04-12	2027-06-30	"USAID/Honduras"	"defunded"
"72049220CA00003"	"72049220CA00003"	"EDUCATION DEVELOPMENT CENTER, INC."	"USAID/Philippines New Youth Activity (Opportunity 2.0)"	37495000	35256419	2020-02-24	2025-02-23	"USAID/Philippines"	"defunded"
"72067424F00007"	"72067424F00007"	"TETRA TECH ES, INC."	"USAID Southern Africa Resilient Cities Limpopo Activity, a Task Order under the WADI II IDIQ. The objective of this activity is to improve access to water, sanitation, and solid waste management services in urban areas."	37491573	15117927	2022-09-26	2031-09-25	"USAID/South Africa"	"defunded"
"72061121CA00001"	"72061121CA00001"	"JOHN SNOW HEALTH ZAMBIA LIMITED"	"USAID/Zambia will implement a five year, $36.9 million cooperative agreement to improve health outcomes for Zambians by increasing the use of high quality health products and services among priority audiences. The Zambia Accessible Markets for Health (ZAM-Health) program will accomplish this by sustainably expanding the availability and accessibility of high quality health products and services in the private sector, improving health knowledge, and increasing the adoption of healthy and health-seeking behaviors. Within the framework of a total market approach (TMA), the program will employ private sector approaches such as marketing, social franchising, and partnerships with commercial and for-profit entities to achieve these outcomes."	37483910	26213338	2021-06-14	2026-06-13	"USAID/Zambia"	"defunded"
"72049224CA00003"	"72049224CA00003"	"UNIVERSITY RESEARCH CO LLC"	"USAID/Philippines TB-Free Luzon Activity"	37300000	6925000	2024-09-26	2029-09-25	"USAID/Philippines"	"defunded"
"72068822C00001"	"72068822C00001"	"ARD, INC."	"The purpose of this contract is to acquire services for the implementation of the USAID/Mali Anka Jiko activity which aims to improve the governance of rural water and sanitation infrastructure in order for rural Malian communities to construct, maintain, and sustainably manage safe and reliable water sources in order to increase the availability and use of safe drinking water and water for agriculture."	37276048	21619580	2022-08-19	2027-08-18	"USAID/Mali"	"defunded"
"72027822F00005"	"72027822F00005"	"DELOITTE CONSULTING LLP"	"Task Order 2 under Economic Reform Activity IDIQ-Energy Sector Support Activity to provide technical assistance to the Government of Jordan to implement the Kingdom’s economic reform plans to improve the sustainability and self- reliance of the energy sector in Jordan."	37111699	24802014	2022-02-06	2027-02-05	NA	"defunded"
"7200AA24LE00004"	"7200AA24LE00004"	"KANSAS STATE UNIVERSITY"	"This new IL will focus on developing and adapting keystone technologies and approaches that maximize systems benefits and minimize tradeoffs across food production, environment, economic, human and social outcomes. This activity will also generate evidence on agronomic technologies and approaches that increase resilience and climate adaptation and where appropriate mitigation; including both biophysical and socioeconomic technologies and approaches. By developing “leapfrog” technologies that enable tailored scaling and building local institutional and human capacity, this activity will ensure sustainable development results."	3.7e+07	3599226	2024-09-30	2029-09-29	"USAID M/OAA"	"defunded"
"720BHA24GR00185"	"720BHA24GR00185"	"MERCY CORPS"	"AN AWARD TO PROVIDE MULTI-SECTORAL EMERGENCY ASSISTANCE IN SOMALIA, WITH VARIED ACTIVITIES TARGETED AT THE HOUSEHOLD AND COMMUNITY LEVEL TO PROMOTE ECONOMIC WELLBEING AND RESILIENCE TO FUTURE DISASTERS. ACTIVITIES INCLUDE AGRICULTURAL LIVELIHOOD SUPPORT, ECONOMIC AND MARKET RECOVERY, CASH ASSISTANCE, HYGIENE PROMOTION AND SANITATION, INFRASTRUCTURE AND WATER SUPPLY, AND CAPACITY BUILDING AND TRAINING."	3.7e+07	1e+07	2024-08-07	2027-08-06	"USAID BHA"	"defunded"
"720DD122IO00003"	"720DD122IO00003"	"INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT"	"WBG is launching a new work program on childcare. The work program aims to expand the size, and improve the quality, of WBG investments in childcare to improve women’s economic empowerment and child development outcomes as well as broader benefits for families, businesses and ultimately economies."	3.7e+07	3.7e+07	2022-08-29	2027-12-31	"USAID IPI"	"defunded"
"72051421D00002"	"72051421D00002"	"ARD, INC"	"The Female Empowerment Activity (FEMPOW), also called Mujeres Poderosas in Spanish, aims to empower women and girls. It will do this by engaging the private sector to reduce gender-based violence, positively transform gender norms and attitudes, and create economic opportunities for women. FEMPOW will also seek to support the U.S. Agency for International Development in Colombia’s (USAID/Colombia) programming in Rural Development Plan with Territorial Approach (PDET) municipalities."	36940507	28254807	2021-05-03	2026-05-02	"USAID/Colombia"	"defunded"
"7200AA20M00008"	"7200AA20M00008"	"EDUCATION DEVELOPMENT CENTER, INC."	"E3ED_Leading through Learning Networks - The Leading through Learning Networks activity will support increased collaboration in technical areas relavent to the USAID Education Policy through networks or communities of practice; curate, collect, and synthesize evidence to develop knowledge products including guidance and tools; and develop and deliver professional development to USAID staff and partners towards the ultimate objective of improving the impact of USAID education programming and furthering USAID global leadership in education."	36800913	21884249	2020-08-07	2025-08-06	"USAID EGEE"	"defunded"
"7200AA24M00004"	"7200AA24M00004"	"THE KONTERRA GROUP LLC"	"Global Employee Assistance Program (EAP) Services. The objective of this contract is to provide professional Employee Assistance Program services to professional clinical and non-clinical expertise as well as outreach and training staff for USAID employees."	36710915	4118753	2024-01-01	2025-03-31	"USAID M/OAA"	"defunded"
"7200AA21M00004"	"7200AA21M00004"	"ENCOMPASS LLC"	"DDI/ED_Designing Effective eVidence-based Engagement and Learning for Organizational Performance (DEVELOP) - Designing Effective eVidence-based Engagement and Learning for Organizational Performance (DEVELOP) is expected to provide continuing services in organizational effectiveness, communications, professional development, and knowledge management for the entire education sector. This support will ensure that USAID education staff have the core skills they need to successfully advance USAID’s Education Policy and the implementation of the USG International Basic Education Strategy, the right resources at the right time, and that our progress is successfully communicated among USAID’s stakeholders."	36444132	30957616	2021-03-23	2026-03-22	"USAID EGEE"	"defunded"
"AID-660-T-15-00001"	"AID-660-T-15-00001"	"US FOREST SERVICE"	"Providing targeted technical and capacity building assistance aiming at improving forest management in the Congo Basin."	36439541	34354283	2015-06-01	2025-05-31	"USAID/DROC (Congo)"	"defunded"
"72012120C00001"	"72012120C00001"	"ENCOMPASS LLC"	"The purpose of this five-year Contract is to holistically assist the USAID Regional Mission for Ukraine and Belarus (hereafter USAID/Ukraine) in its overall monitoring, and its collaborating, learning and adapting (CLA) needs over the implementation of its five-year 2019-2024 Country Development Cooperation Strategy (CDCS)."	36403723	28282532	2020-03-02	2027-03-01	"USAID/Ukraine"	"defunded"
"72044021C00001"	"72044021C00001"	"DELOITTE CONSULTING LLP"	"New activity \"USAID Improving Private Sector Competitiveness\"."	36310210	33275397	2020-12-21	2025-12-20	"USAID/Vietnam"	"defunded"
"72026321C00002"	"72026321C00002"	"PALLADIUM INTERNATIONAL LLC"	"THE TRADE ACTIVITY WILL PROVIDE TECHNICAL ASSISTANCE TO GOE AS WELL AS OTHER PRIVATE SECTOR STAKEHOLDERS TO ACHIEVE THREE RESULTS: ENHANCED EXPORT CAPACITY OF NEW AND EXPANDING EXPORT READY ENTERPRISES IN SELECTED SECTORS STRENGTHENED PUBLIC AND PRI"	36300000	36300000	2021-04-01	2026-03-31	"USAID/Egypt"	"defunded"
"72044020F00002"	"72044020F00002"	"DAI GLOBAL LLC"	"Task Order under The Strengthening Tenure and Resource Rights (STARR) II IDIQ for USAID Sustainable Forest Management"	36274769	25654007	2020-07-01	2025-06-30	"USAID/Vietnam"	"defunded"
"72044020F00003"	"72044020F00003"	"DELOITTE CONSULTING LLP"	"Vietnam Low Emission Energy Program II (V-LEEP II)"	36251254	23839396	2020-09-30	2025-09-29	"USAID/Vietnam"	"defunded"
"72051418IO00005"	"72051418IO00005"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"The Community Stabilization Activity responds to the need to provide the Government of Colombia (GOC) with technical assistance and tools to address the dire humanitarian situation created in communities affected by the sudden increase of population flows from Venezuela."	36174669	36174669	2018-08-23	2025-04-30	"USAID/Colombia"	"defunded"
"72062022CA00002"	"72062022CA00002"	"HEARTLAND ALLIANCE LTD-GTE"	"This action is an initial Funding action for the ACE - Cluster 6 - Lagos, Edo, Bayelsa - activity."	3.6e+07	21459137	2022-01-04	2027-01-03	"USAID/Nigeria"	"defunded"
"72066720LA00001"	"72066720LA00001"	"CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING"	"Improving Electoral and Political Processes for Change in Sudan Program(IEPP-Sudan)"	3.6e+07	22734700	2020-08-12	2025-08-31	"USAID/Sudan"	"defunded"
"7200AA18LA00007"	"7200AA18LA00007"	"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL"	"TB Data, Impact Assessment and Communications Hub (TB DIAH)"	35941985	35548519	2018-09-24	2025-03-23	"USAID M/OAA"	"defunded"
"72051421D00005"	"72051421D00005"	"CHEMONICS INTERNATIONAL, INC."	"In response to Colombia recent surge in deforestation and biodiversity loss, the purpose of the Amazon Alive Activity is to (1) improve the effectiveness of the environmental crime prevention and prosecution and (2) improve the effectiveness of forest conservation and management. This is an integrated activity to contribute to Colombian development by strengthening social cohesion, responsive governance an environmentally sustainable economic development."	35858308	26679969	2021-07-01	2026-06-30	"USAID/Colombia"	"defunded"
"72064122C00001"	"72064122C00001"	"ACDI/VOCA"	"The purpose of this contract is to provide technical assistance and other services as described in the Performance Work Statement (PWS) found in Section C for the implementation of USAID/Ghana’s activity entitled, \"Feed the Future Ghana Market Systems and Resilience.\" (also referred to as MSR)."	35858073	21657724	2022-04-01	2027-03-31	"USAID/Ghana"	"defunded"
"72027821C00007"	"72027821C00007"	"MANAGEMENT SYSTEMS INTERNATIONAL, INC."	"The overall goal of the USAID Public Accountability and Justice Strengthening Activity is to increase the accountability and effectiveness of public institutions in Jordan."	35854868	35854867	2021-10-01	2025-09-30	"USAID/Jordan"	"defunded"
"72061719C00007"	"72061719C00007"	"DAI GLOBAL LLC"	"The Feed the Future Inclusive Agricultural Markets Activity is to facilitate sustainable market improvements that increase and diversify opportunities for agriculture-led inclusive economic growth. The Activity will focus on creating efficiencies in cross market functions that influence systemic changes in order to have a sustainable impact on the sector and the country. The Activity will build on gains made and lessons learnt in the first Feed the Future strategy to promote actor- based, private sector-led models to improve market efficiencies. The Activity will also seek collaboration with other development partners, civil society, and the Government of Uganda (GOU) to address other constraints to the agriculture market system. The activity will increase transformation and upgrading of agricultural commodities, increase capacity of market actors to profitably engage in the agricultural marketplace, increase availability and utilization of quality services and inputs, as well as strengthen implementation and enforcement of formal rules and influence informal rules."	35813336	35649252	2019-10-01	2025-11-20	"USAID/Uganda"	"defunded"
"72067320CA00001"	"72067320CA00001"	"ABT GLOBAL LLC"	"The primary objective of the SAFE activity is to increase circumcision coverage to 80 percent among males aged 10 - 29 year in priority regions in Namibia"	35722210	20985782	2019-10-18	2025-10-17	"USAID/South Africa"	"defunded"
"720BHA24CA00037"	"720BHA24CA00037"	"CNFA"	"Award to improve the strength of individuals at risk of needing humanitarian assistance. The award trains farmers to be more productive, improving their ability to access markets. Additionally the program works with highly vulnerable people to provide American grown food and help train them on financial management and wean them permanently of assistance. The program makes links with banking to improve target population's access to credit. This program also works closely with local organizations to help them transfer farming, nutrition and hygiene care, and financial skills to beneficiaries."	35542727	7700000	2024-10-01	2029-09-30	NA	"defunded"
"72068521CA00001"	"72068521CA00001"	"MERCY CORPS"	"Niger and Burkina Faso Youth Connect"	35500000	27345014	2020-11-01	2025-10-31	"USAID/Senegal"	"defunded"
"72011718CA00002"	"72011718CA00002"	"INTERNATIONAL RESEARCH & EXCHANGE BO"	"Comunitatea Mea Activity"	35499961	35499961	2018-03-05	2026-03-04	"USAID/Moldova"	"defunded"
"72038620CA00001"	"72038620CA00001"	"JHPIEGO CORP"	"To award a new Cooperative Agreement to 'Jhpiego' for the sum of '$13,000,000' with the initial funding of $2,823,646.12, to provide support for a program 'NISHTHA: Transforming Comprehensive Healthcare in India', as described in Attachment A, entitled - Schedule and Attachment B, entitled - Program Description, of this award."	35400000	33350000	2019-11-22	2025-11-20	"USAID/India"	"defunded"
"72049225CA00001"	"72049225CA00001"	"ATENEO DE MANILA UNIVERSITY INC"	"LEAD UHC Activity"	35400000	4739101	2025-01-02	2029-01-01	"USAID/Philippines"	"defunded"
"7200AA24F00002"	"7200AA24F00002"	"CHEMONICS INTERNATIONAL, INC."	"THE PURPOSE OF THIS TASK ORDER IS TO ACQUIRE CONTRACTOR SUPPORT TO ESTABLISH AND MANAGE A FLEXIBLE, QUICK-RESPONSE MECHANISM SUPPORTING ACTIVITIES THAT WILL SUPPORT DEMOCRACY AND STABILITY IN EL SALVADOR."	35153242	10400000	2024-02-21	2026-09-05	"USAID M/OAA"	"defunded"
"7200AA18CA00003"	"7200AA18CA00003"	"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC."	"NFO- Feed the Future Innovation Lab for Peanut Research (PRIL)"	3.5e+07	22500000	2018-01-30	2028-01-10	"USAID BFS"	"defunded"
"7200AA18CA00030"	"7200AA18CA00030"	"MISSISSIPPI STATE UNIVERSITY"	"To add funding in the amount of $2M for the New Feed the Future Innovation Lab for Fish"	3.5e+07	19811931	2018-08-23	2028-09-12	"USAID BFS"	"defunded"
"7200AA19CA00001"	"7200AA19CA00001"	"THE JOHNS HOPKINS UNIVERSITY"	"PRH/PEC -- Knowledge SUCCESS Award under Round 1 of the APS"	3.5e+07	29012707	2019-02-14	2025-08-13	"USAID M/OAA"	"defunded"
"7200AA21CA00003"	"7200AA21CA00003"	"PARTNERS OF THE AMERICAS, INC."	"Addendum to the Active Communities-Effective States (ACES) Annual Program Statement (APS) #7200AA19APS00010 Through this addendum USAID/Colombia is making a call for the submission of concept papers to improve education systems and expertise to achieve the Government of Colombia’s goal of providing sustainable and inclusive quality education to all school-aged children residing in Colombia. Activities supported through this Amendment will focus on strengthening school systems in municipalities and areas impacted by the Venezuelan Immigrant Crisis (receptor communities)."	3.5e+07	31406737	2021-02-05	2026-12-31	"USAID/Colombia"	"defunded"
"7200AA21LE00008"	"7200AA21LE00008"	"CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING"	"The Democratic Elections and Political Processes LWA seeks sustainable solutions to electoral and political processes constraints leading to more responsive and effective governance that is able to meet the needs of citizens"	3.5e+07	29520428	2021-10-01	2026-09-30	"USAID M/OAA"	"defunded"
"72011722C00001"	"72011722C00001"	"NATHAN ASSOCIATES LLC"	"MISRA goal is to stimulate a sustainable and inclusive recovery from the regional crisis, improve the institutional, business, and trade enabling environment in Moldova by supporting Moldova s public institutions and the private sector to accelerate the implementation of trade liberalization mechanisms, adopt structural and investment climate reforms, accelerate financial sector reforms, improve economic governance in the public sector, and enhance strategic communications between the private and public actors."	3.5e+07	22940061	2022-05-03	2027-04-28	"USAID/Moldova"	"defunded"
"72027822CA00001"	"72027822CA00001"	"INTERNEWS NETWORK"	"To position Jordanian civil society to effectively represent and advocate on behalf of citizen-driven interests, while leveraging the use of digital media to enhance civic knowledge and discourse."	3.5e+07	19522542	2022-03-23	2027-03-22	"USAID/Jordan"	"defunded"
"72029423CA00006"	"72029423CA00006"	"COOPERATIVE HOUSING FOUNDATION"	"WBG: This Activity will leverage women’s potential to create ripple effects that shift gender-based power relations within the Palestinian community. This Activity will improve institutional frameworks and processes in select sectors to ensure they align with legal requirements and international best practice (both existing and new that might be advanced through implementation) for the inclusion of women. It will also support communities to develop the necessary tools to promote women’s inclusion in activities outside the home; build the capacity and confidence of individual women by engaging institutions of higher education and civil society; develop male allies, political structures, and the private sector; and strengthen public awareness and advocacy around women’s issues, including gender-based violence (GBV). The Activity acknowledges the pervasiveness of gender-based violence, and the Activity will field interventions that challenge the status quo in a manner fully complementary of existing U.S. funded interventions on the topic, including awareness raising, gender-based violence in the workplace, behavior change, and economic empowerment for women survivors. The goal of this Activity is to contribute to women’s empowerment in the West Bank and Gaza by increasing women's access to leadership opportunities and enhancing the enabling environment to be more receptive for women's participation in civic, political, and economic decision making."	3.5e+07	18947008	2023-09-27	2028-09-26	"USAID/West Bank Gaza"	"defunded"
"72036722CA00002"	"72036722CA00002"	"CARE"	"The goal of this Activity is to support adolescents to reach their full potential by ensuring they receive correct and appropriate RH information and guidance to develop decision-making skills, and by creating an environment conducive to making healthy reproductive health decisions; and to facilitate translation of these decisions into healthy behaviors. The Activity will support a range of healthy reproductive behaviors including delaying marriage, delaying first pregnancy, healthy timing and spacing of pregnancy, seeking FP/RH services, use of contraceptives, prevention of HIV/AIDS, prevention and treatment of other STIs, prevention and response to gender based violence, and menstrual health/stigma, contributing to better health outcomes as well as social and economic benefits."	3.5e+07	18175834	2022-06-01	2027-05-31	"USAID/Nepal"	"defunded"
"72038823CA00004"	"72038823CA00004"	"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC."	"Bangladesh Integrated Youth Activity (BIYA)"	3.5e+07	9655000	2023-06-22	2028-06-21	"USAID/Bangladesh"	"defunded"
"72038824CA00008"	"72038824CA00008"	"JSI RESEARCH & TRAINING INSTITUTE INC"	"Urban Health Activity"	3.5e+07	7180000	2024-10-20	2029-10-19	"USAID/Bangladesh"	"defunded"
"72049225CA00002"	"72049225CA00002"	"TROPICAL DISEASE FOUNDATION INC."	"Initial obligation for the New TB for Visayas and Mindanao (Non-SWIFT)"	3.5e+07	6480574	2025-01-06	2030-01-05	"USAID/Philippines"	"defunded"
"72051922CA00002"	"72051922CA00002"	"ARIZONA STATE UNIVERSITY"	"Initial subobligation for the new Gender Based Violence Prevention, Protection and Accountability in El Salvador activity."	3.5e+07	24733610	2022-10-03	2027-10-02	"USAID/El Salvador"	"defunded"
"72051922LA00002"	"72051922LA00002"	"PACT, INC."	"This is a Cooperative Agreement with Private Agencies Collaborating Together, Inc. (Pact) to strengthen citizen-driven social accountability to demand effective governance. The Cooperative Agreement will focus activities in three components: (1) develop civil society capacities to effectively represent citizen interests; (2) enable an ecosystem to deter and prevent closing civic space; and (3) strengthen independent media capabilities to improve sustainability, quality, and reach."	3.5e+07	24022544	2022-04-01	2027-03-31	"USAID/El Salvador"	"defunded"
"72051924CA00002"	"72051924CA00002"	"DEXIS INTERACTIVE LLC"	"The project will increase the scale, reach, and quality of people-centered justice services for victims of crime and people accused of crimes. It will do that by strengthening the investigative capabilities of public defense and by providing legal aid services in target locations. The project will also streamline and strengthen existing victims’ assistance services employing victim-centered, trauma-informed methodologies. The project will support the integrity of the criminal process by strengthening the \"etapa de instrucción\" and by promoting coordination at the local level through the local system. Finally, the project will support civil society by applying the collective action approach to formalize civil society engagement as a watchdog of judicial independence and transparency."	3.5e+07	13899290	2023-11-15	2028-11-16	"USAID/El Salvador"	"defunded"
"72066324CA00001"	"72066324CA00001"	"ENGENDER HEALTH INC"	"The purpose of this requisition is to solicit a five-year Cooperative Agreement, for TEA amount of $35 million over five years to USAID Lowlands Health Activity under the Empowered Communities for Better Health (ECBH) Project. The overall goal of the USAID Lowlands Health Activity is to improve health and nutrition outcomes in the pastoral areas by increasing access, quality, and utilization of health and nutrition services."	3.5e+07	14871432	2024-01-01	2028-12-31	"USAID/Ethiopia"	"defunded"
"72068520CA00006"	"72068520CA00006"	"PATHFINDER INTERNATIONAL"	"Health Services Delivery award for Burkina"	3.5e+07	27250953	2020-06-01	2025-05-31	"USAID/Senegal"	"defunded"
"72068724CA00002"	"72068724CA00002"	"CARE USA"	"USAID Rano Maharitra Activity"	3.5e+07	9614770	2024-01-16	2029-01-15	"USAID/Madagascar"	"defunded"
"720AAD24CA00001"	"720AAD24CA00001"	"FAMILY HEALTH INTERNATIONAL"	"EQHA II is a new five-year award aims to improve and sustain service quality by strengthening a harmonized Cambodian high quality health system that will lead to better health outcomes for all Cambodians. This activity will apply evidence-based global and local practices to improve policy, guidelines, strategies for more effective and efficient health systems; to improve individual and institutional capacity of the public and private sectors to implement, monitor, and evaluate quality assusrance systems according to the national standards; And to improve individual and institutional capacity of subnational health systems to provide quality services to address emerging national program priorities."	3.5e+07	11102392	2023-10-23	2028-10-22	"USAID/Cambodia"	"defunded"
"72049220C00004"	"72049220C00004"	"SOCIAL SOLUTIONS INTERNATIONAL, INC."	"BASE AWARD - PACIFIC AMERICAN FUND INITIAL OBLIGATION OF $6,408,000"	34999999	34999999	2020-08-06	2026-08-31	"USAID/Philippines"	"defunded"
"72049224CA00005"	"72049224CA00005"	"PHILIPPINE TUBERCULOSIS SOCIETY, INC."	"Initial funding for the award."	34999896	7e+06	2024-10-01	2029-09-30	"USAID/Philippines"	"defunded"
"7200AA19CA00041"	"7200AA19CA00041"	"FAMILY HEALTH INTERNATIONAL"	"PRH/RTU -- FY19 award [Research for Scalable Solutions (R4S) ]."	34998729	22004821	2019-09-30	2025-09-29	"USAID GH"	"defunded"
"72068525LE00001"	"72068525LE00001"	"CHEMONICS INTERNATIONAL, INC."	"The RRP LWA will strengthen individual, household, and formal and informal institutions and networks to deliver improved natural resource management and the adoption of sustainable agriculture practices. Over a five-year period, the RRP aspires to achieve increased food security, income generation, water and sanitation and hygiene, climate adaptation, nutrition and improved conflict mitigation, and enhanced community resilience. The RRP will ensure that the voices and participation of women and youth are integrated into all activities, recognizing their pivotal roles as catalysts for transformative change. USAID RRP is designed to address these issues by empowering women and youth to become active contributors to their communities’ development. When appropriate, the associate awards will layer, sequence, and integrate programming with Humanitarian Assistance programming to build resilience and reduce the long-term need for humanitarian assistance. The Leader and associate awards will coordinate with other technical sectors in USAID, such as health and education, wherever possible."	34996771	9597843	2025-01-15	2030-01-14	"USAID/Senegal"	"defunded"
"72027822C00005"	"72027822C00005"	"ARD, INC"	"Water Efficiency and Conservation (WEC) Activity"	34979784	20293418	2022-09-15	2027-09-14	"USAID/Jordan"	"defunded"
"7200AA20F00010"	"7200AA20F00010"	"DAI GLOBAL LLC"	"Integrated Natural Resources Management (INRM) Task Order. The Integrated Natural Resources Management (INRM) Task Order will provide much needed cross-cutting environment and natural resource management services to Missions and Operating Units to put the ENRM Framework into practice in pursuit of critical development programming objectives. This includes support to Missions in designing, implementing, and monitoring integrated ENRM activities. Designing and implementing innovative approaches to ENRM will be a priority, with the awardee testing out new approaches, technologies or partnerships to more sustainably manage natural resources, including via co-creation processes."	34976131	32028565	2020-07-30	2025-07-19	"USAID M/OAA"	"defunded"
"72052221C00001"	"72052221C00001"	"DAI GLOBAL LLC"	"The purpose of this contract is to increase employment for youth at risk of irregular migration."	34943664	34943664	2021-09-30	2026-09-30	"USAID/Honduras"	"defunded"
"72026322CA00002"	"72026322CA00002"	"DAI GLOBAL LLC"	"Business Egypt"	34860664	29586976	2021-11-10	2026-11-09	"USAID/Egypt"	"defunded"
"72052224F00001"	"72052224F00001"	"WSP USA SOLUTIONS INC"	"USAID/Honduras Public Effectiveness and Localization Task Order 1 (TO1); 1) Improve the effective governance capacity, transparency, accountability and citizen-responsiveness of Government of Honduras (GOH) institutions under Objective One and Two of the SDG IDIQ contract, which are aimed at building the systemic accountability and responsiveness of the GOH to citizens in order to increase trust and incentivize Hondurans to remain in their country and participate in their democracy; and 2) Provide localization, learning, adapting, monitoring and information support services to implement activities for all task orders and objectives of the SDG IDIQ."	34789881	9212317	2023-10-26	2028-10-26	"USAID/Honduras"	"defunded"
"7200AA20CA00016"	"7200AA20CA00016"	"FAMILY HEALTH INTERNATIONAL"	"PRH / RTU -- FY20 Award #2 (Biomed)"	34722274	25449000	2020-07-24	2027-07-23	"USAID M/OAA"	"defunded"
"72066322CA00005"	"72066322CA00005"	"FAMILY HEALTH INTERNATIONAL"	"The purpose of this agreement is to award the new activity Social and Behavior Change for Health (SBCH) aimed to increase sustained adoption of appropriate health and nutrition behaviors among Ethiopians. The cooperative agreement will be awarded for five years (on or about July 1, 2022, through June 30, 2027). The award funding ceiling is $35,000,000 over five-years."	34663740	22589063	2022-07-01	2027-06-30	"USAID/Ethiopia"	"defunded"
"72051421F00001"	"72051421F00001"	"DAI GLOBAL LLC"	"The Responsive Governance Activity will enhance good governance, public financial management and service delivery in conflict affected municipalities."	34662058	34662058	2020-10-08	2025-08-07	"USAID/Colombia"	"defunded"
"72066320CA00001"	"72066320CA00001"	"COOPERATIVE HOUSING FOUNDATION"	"New Award - Resilience in Pastoral Areas"	34550649	34550649	2020-01-23	2025-07-31	"USAID/Ethiopia"	"defunded"
"72061223C00001"	"72061223C00001"	"BOZDEMIR INSAAT VE MUHENDISLIK LIMITED SIRKETI"	"Construction of Community Day Secondary Schools Community Day Secondary Schools (CDSSs) in 12 Districts across Malawi identified in Lot A1 and A2."	34468712	34468712	2022-11-22	2025-08-04	"USAID/Malawi"	"defunded"
"72061720CA00007"	"72061720CA00007"	"RTI INTERNATIONAL"	"The goal of the Biodiversity for Resilience activity is to conserve and manage biodiversity in target ecosystems for lasting environmental and economic sustainability. Three outcomes support achievement of the goal: 1. Community organizations that promote environmentally sustainable and economically beneficial biodiversity and natural resource management established and operational. 2. Economic and social incentives to protect Uganda’s natural heritage strengthened. 3. Government capacity to manage biodiversity and natural resources in targeted protected areas and neighboring communities increased. USAID/Uganda is committed to reinforcing Uganda’s efforts to conserve its biodiversity for resilient, inclusive development. It supports a suite of activities designed to support Uganda-led sustainable development through the conservation of targeted natural resources and biodiversity. More specifically, USAID aims to help Ugandan counterparts: ¿ Increase the resilience of biologically significant ecosystems and the communities they support; ¿ Improve the conservation status of key species of global importance and strengthen the enterprises that incentivize conservation; ¿ Develop well-functioning systems in support of sustainable natural resource management and resilience to the impacts of climate change."	34333376	29334925	2020-06-01	2027-05-31	"USAID/Uganda"	"defunded"
"720BHA24IO00198"	"720BHA24IO00198"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"New award to IOM in support of Comprehensive Multi-Sectoral Assistance To Internally Displaced Persons and Host Communities in Yemen and Elevating the Impact of Diaspora Operations and Coordination in Humanitarian Assistance through the Framework for Diaspora Engagement in Humanitarian Assistance."	34230300	34230300	2024-01-01	2025-09-30	"USAID BHA"	"defunded"
"72011521C00002"	"72011521C00002"	"DAI GLOBAL LLC"	"USAID Trade Central Asia"	34170704	34170704	2021-10-01	2026-09-30	"USAID/Central Asia/Kazakhstan"	"defunded"
"7200AA24M00007"	"7200AA24M00007"	"STRATEGIC CONSULTING PARTNERS"	"Organizational and Individual Resilience Service (OR) - new program contract to build organizational and individual resilience across the USAID workforce."	34072612	2819833	2024-01-22	2025-01-21	"M/OAA/RM"	"defunded"
"72052120CA00004"	"72052120CA00004"	"FONDATION SEROVIE"	"Epidemic Control among Priority Populations (ECP2) Activity"	34064049	20648794	2020-02-03	2028-02-02	"USAID/Haiti"	"defunded"
"72067424CA00011"	"72067424CA00011"	"FAMILY HEALTH INTERNATIONAL"	"The purpose of this REQ is to prepare RFA for the HIV Prevention activity. To prevent new HIV infections through provision of data- driven, evidence-based, and person-centered differentiated delivery interventions to sustain epidemic control in Lesotho."	3.4e+07	4042621	2024-10-01	2026-09-30	"USAID/South Africa"	"defunded"
